group_symbol,0,1,2,3,4,5,6,7,8,9,10,comp
P222,-1.8630199432000003,-1.4137000083699998,-0.3979043960599994,-0.0036312818699999055,0.22932291032000016,0.34926128385,0.4281286239800002,0.6666138172500008,1.3838441848600003,1.44180021285,6.7639312744,Cu3O7Y1Ba2
P4,-0.8935480118000001,-0.17986612323,-0.021131324759999764,0.21809122559000027,0.32549500468000003,0.5090149641000001,0.8571162224000011,1.9601020336300001,3.1919740676800012,4.060976171480001,5.6037740707,Cu3O7Y1Ba2
P4/m,-1.2112755774999995,-0.74901423451,-0.6517928123999999,-0.48274917602999984,-0.3823864937199997,-0.18097901344999978,0.03387618062000029,0.14101562499000028,0.26746010776000045,2.2725255966000004,8.1408138275,Cu3O7Y1Ba2
P4/mmm,-1.0585989951999997,-0.16482315062999983,-0.04105520245999966,0.05347750190000001,0.09142827986000024,0.22062277795000007,0.7152584076200028,1.3563708305200006,2.43804578778,3.44984145163,4.7577705383,Cu3O7Y1Ba2
P422,-1.7906770706000001,-0.7947335242999998,-0.1731753348999998,0.12240576740000014,0.6624851227000002,0.9919919967999999,1.3150963783000031,2.5910787582,7.9255847931000005,18.2419681549,19.3839473724,Cu3O7Y1Ba2
P4mm,-0.7910017966999998,-0.5787426472100001,-0.4684244155999995,-0.2659118890799996,-0.12003517151999989,-0.06415081024999991,0.5022085666200002,1.889277267430001,2.98334655762,3.1919786453100003,3.7296490669,Cu3O7Y1Ba2
P6,-0.8253297805999997,-0.5165500640500003,-0.3962764739999999,-0.10523097512999988,0.10598268508000003,0.23719739915000004,0.31836552618000036,0.44823603632000036,0.6238209247800004,2.69413919448,6.670507431000001,Cu3O7Y1Ba2
P6/m,-2.0588889121999996,-1.4712193489199998,-0.7754291534400001,-0.5299356460399993,-0.51295328142,-0.39724826810000025,-0.23990411759999908,0.4770364284600003,0.9130716800800002,2.41777801514,7.2148170471,Cu3O7Y1Ba2
P6/mmm,-2.5213623047000002,-0.89791831968,-0.6354093551999996,-0.4343270301799996,-0.30231618883999994,-0.1324663161999997,-0.02998261453999958,0.06103928088000006,0.37593321796000045,0.5787545919200001,3.9891324043000003,Cu3O7Y1Ba2
P622,-1.7685184479,-1.2750723361799996,-1.16591844562,-0.9891645908299996,-0.9178208350999997,-0.81315875055,-0.6863855361999999,-0.6176525115799997,-0.5188204765399996,-0.3981288909500003,2.9033164978,Cu3O7Y1Ba2
